,Geographic Area,City,Median Income,percent_completed_hs,poverty_rate,share_white,share_black,share_native_american,share_asian,share_hispanic
23,AL,Athens city,47542,83.4,13,73,17.5,0.6,0.9,8.8
24,AL,Atmore city,26775,73.7,24.7,40,55.6,1.8,0.3,1.8
25,AL,Attalla city,37191,76,20.3,81.5,12.7,0.4,0.5,4.7
26,AL,Auburn city,38342,94.3,31.8,75.1,16.5,0.3,5.3,2.9
27,AL,Autaugaville town,24833,71.2,24.1,31.3,66.8,0.2,0,0.8
28,AL,Avon town,40417,82.8,22.2,94.7,1.8,1.8,0,1.3
29,AL,Axis CDP,55750,79.9,6.8,66.8,26.9,3.2,0.1,0.9
30,AL,Babbie town,41912,81.2,15.7,96.7,0,0,1.5,0.2
31,AL,Baileyton town,31875,74.7,28.6,96.2,0.2,0.5,0,1.5
32,AL,Bakerhill town,31875,72.4,19.1,61.6,35.5,0.7,0,1.1
33,AL,Ballplay CDP,37778,80.3,7.1,97.5,0.1,0.7,0.3,1
34,AL,Banks town,28750,73,38.2,69.3,24.6,2.2,0,1.1
35,AL,Bay Minette city,31576,79.1,26.3,60.4,35.3,1,0.8,1.8
36,AL,Bayou La Batre city,34583,58.5,30.1,60.3,12.3,0.4,22.8,2.8
37,AL,Bear Creek town,35563,76.7,25.3,97.1,0.1,0.7,0.2,1.8
38,AL,Beatrice town,18417,89.1,44.9,23.6,76.1,0.3,0,0
39,AL,Beaverton town,31875,87.9,8.1,95,5,0,0,1
40,AL,Belgreen CDP,27750,87,28.8,96.1,0,0,0,3.9
41,AL,Belk town,28906,63.8,39.1,95.8,2.8,0,0.5,0.9
42,AL,Bellamy CDP,22132,86.5,42.9,8.3,90.8,0,0.9,1.3
43,AL,Belle Fontaine CDP,34615,91.9,36.7,92.3,1.6,0.5,2.3,3.6
44,AL,Benton town,(X),100,0,81.6,18.4,0,0,0
45,AL,Berry town,25865,65.4,30.9,90.8,7.4,0,0,0.8
46,AL,Bessemer city,29615,81.5,32.9,24.3,71.2,0.3,0.2,4.1
47,AL,Billingsley town,41250,71.3,20.5,86.1,11.1,2.1,0,0.7
48,AL,Birmingham city,31061,85.1,30.9,22.3,73.4,0.2,1,3.6
49,AL,Black town,41071,90,12.7,92.3,6.3,0,0,0
50,AL,Blountsville town,30152,73.1,41.2,87.3,0.7,1,0.4,15.3
51,AL,Blue Ridge CDP,96333,97.6,0.5,94.5,2.7,0.7,0.9,1
52,AL,Blue Springs town,45313,95.6,4,92.7,6.3,0,1,3.1
53,AL,Boaz city,35974,76.6,19.4,87.3,1.8,0.4,0.7,14.2
54,AL,Boligee town,12173,79.9,60.3,8.8,90.2,0,0,0.3
55,AL,Bon Air town,23750,85.7,47.6,80.2,6.9,2.6,0,2.6
56,AL,Boykin CDP,(X),53.7,53.7,4,95.3,0,0,0.7
57,AL,Brantley town,27870,75.1,20.7,56.1,38.8,0.6,0.5,2
58,AL,Brantleyville CDP,40370,85.1,19.2,82.1,3.3,0.9,0.5,12.6
59,AL,Brent city,33924,73.8,17.3,45.1,53.5,0.1,0,2.1
60,AL,Brewton city,31033,84.5,27.8,54.1,42.6,0.7,0.4,2.2
61,AL,Bridgeport city,28571,74.9,34.7,84,8.6,1.9,0.2,1.7
62,AL,Brighton city,22146,78.6,33,6.5,81,1,0,13.8
63,AL,Brilliant town,25893,75.9,22.5,98.3,0.2,0.1,0.1,1.6
64,AL,Bristow Cove CDP,(X),65.1,39.7,91.1,0,1.5,0.1,6.6
65,AL,Brook Highland CDP,60212,96.2,11.5,73.6,16.2,0.2,4.4,7.8
66,AL,Brookside town,34554,78.7,19.2,79.5,18.5,0.3,0.1,0.7
67,AL,Brookwood town,51515,83.1,10.8,92.2,5.3,0.7,0.1,2
68,AL,Broomtown CDP,28750,66.2,23.8,98.4,1.6,0,0,0
69,AL,Brundidge city,23819,77.2,32.4,34.1,62.9,0.5,0.6,3
70,AL,Bucks CDP,-,100,0,59.4,31.3,3.1,0,3.1
71,AL,Butler town,28950,80.2,25.3,71.4,26.7,0.2,0.2,0.7
72,AL,Calera city,62893,89.1,5.8,71.2,23,0.2,0.6,5
73,AL,Calvert CDP,-,22.8,79.4,53.1,35.4,6.9,0,2.2
74,AL,Camden city,28375,82.8,31.9,42,57.4,0.1,0,0.7
75,AL,Camp Hill town,25118,76.6,36.6,10.2,88.4,0.1,0.1,0.7
76,AL,Carbon Hill city,25990,65.4,32.2,89.4,8.2,0.2,0.1,1.2
77,AL,Cardiff town,(X),72.7,30,94.5,5.5,0,0,0
78,AL,Carlisle-Rockledge CDP,35938,73.1,17.2,95,0.9,0.9,0.1,3.1
79,AL,Carlton CDP,(X),77,18.9,66.2,33.8,0,0,3.1
80,AL,Carolina town,50278,87.8,7.4,96.6,0.3,0.3,0,0
81,AL,Carrollton town,27857,71,29.1,49,43.1,0.1,0,10.4
82,AL,Castleberry town,20677,75.9,39.6,59.2,38.4,0.3,0,0.5
83,AL,Catherine CDP,-,100,0,72.7,27.3,0,0,0
84,AL,Cedar Bluff town,36389,77.9,25.8,86.2,9.9,0.7,0.3,1.2
85,AL,Center Point city,39944,87.1,25,32.6,62.9,0.2,0.4,4.8
86,AL,Centre city,31268,76.7,25.1,87,9.9,0.4,0.3,1.2
87,AL,Centreville city,41103,81.6,22.4,72.2,23.7,0.3,0.4,3
88,AL,Chatom town,35365,76,19.8,68.2,31.1,0,0,0.6
89,AL,Chelsea city,85757,93.5,4.9,89.5,5.7,0.3,2,3.2
90,AL,Cherokee town,28359,80.9,19.9,77.6,18.3,0.5,0.3,1.7
91,AL,Chickasaw city,30973,79.9,33.6,63,33.6,0.8,0.5,2.3
92,AL,Childersburg city,25948,78.8,38.6,60.1,36.9,0.4,0.5,1.3
93,AL,Choccolocco CDP,54825,89.4,14.7,87.5,7.2,0.3,0.7,4.3
94,AL,Chunchula CDP,(X),91.2,0,45.7,51.9,0,0,0.5
95,AL,Citronelle city,48125,82.5,16.9,70.7,20.2,4.9,0.5,2.6
96,AL,Clanton city,39823,76.8,16.9,74.9,19.1,0.3,0.6,6
97,AL,Clay city,68717,92.2,6.6,84.1,13.3,0.3,0.6,1.3
98,AL,Clayhatchee town,32656,85.3,16.4,94.9,1.7,0.3,0.3,2.4
99,AL,Clayton town,25203,57.8,29.3,35.8,63.8,0,0,0.6
100,AL,Cleveland town,40909,74.4,15,89.2,0.3,0.2,0.3,18.4
101,AL,Clio city,19539,63.1,31.4,32,36.5,0.4,0.5,36
102,AL,Coaling town,54167,88.2,19.5,86.4,11.4,0.1,0.1,0.8
103,AL,Coats Bend CDP,42821,90.9,15,84.4,12.6,0.5,0,0.9
104,AL,Coffee Springs town,33636,78,21.2,96.1,0,0,0,2.6
105,AL,Coffeeville town,19583,71.7,41.3,51.4,46,0,0,0.6
106,AL,Coker town,45795,89.2,10,95.2,2,0.2,0.9,1.8
107,AL,Collinsville town,25795,52,32.1,47.8,9,1.1,0.1,43.1
108,AL,Colony town,33063,77,24.8,10.4,86.9,0,0.4,0.4
109,AL,Columbia town,31806,79,20.1,77,21.1,0.4,0,0.4
110,AL,Columbiana city,32700,74.4,24,71.3,25.1,0.3,0.2,3
111,AL,Concord CDP,44620,91.3,7.9,98.5,0.5,0.2,0.2,0.5
112,AL,Coosada town,47406,84.3,23.5,57.7,40,0.4,0.2,2.9
113,AL,Cordova city,19139,79.8,32.8,83.4,14.5,0.8,0.1,0.7
114,AL,Cottonwood town,25313,76.3,29.8,71.8,25.4,0.6,0,1.1
115,AL,County Line town,55313,83.9,10.7,94.2,1.2,3.1,1.2,0.4
116,AL,Courtland town,33125,79.6,25.8,57.6,38.4,1.3,0.3,0.3
117,AL,Cowarts town,43533,86,11.7,80.8,14.6,0.7,0.1,1.7
118,AL,Creola city,51705,84.4,18.1,84.7,9.8,1.8,0.1,3.1
119,AL,Crossville town,30833,70.4,38.1,88.7,0.4,1.9,0.2,8.3
120,AL,Cuba town,40673,92.1,21,85.3,13,0.6,0,0.3
121,AL,Cullman city,38746,85.3,21.9,93.4,0.9,0.3,0.9,8.2
122,AL,Cullomburg CDP,(X),93.4,8.5,42.1,57.3,0,0,0
123,AL,Cusseta town,52500,83.7,9.3,95.9,2.4,0,1.6,0
124,AL,Dadeville city,29368,73.7,28.8,50.2,47.5,0.3,0.6,0.9
125,AL,Daleville city,45651,85.3,24.5,66.2,22.6,1.1,2.7,10.1
126,AL,Daphne city,60737,95.8,11.2,84.1,11.8,0.4,1.5,2.9
127,AL,Dauphin Island town,63594,95.8,3.6,97.3,0.4,1,0.2,0.7
128,AL,Daviston town,47639,87.8,12.9,88.8,10.3,0,0.9,1.9
129,AL,Dayton town,(X),100,48,32.7,65.4,0,0,0
130,AL,Deatsville town,78125,96.3,5.1,77.6,19.4,0.1,0.3,1.6
131,AL,Decatur city,41496,82.7,21.2,66.5,21.7,0.7,0.9,12.4
132,AL,Deer Park CDP,(X),86.3,28.1,31.9,66.5,0,0,1.6
133,AL,Delta CDP,(X),87,0,97,0,2.5,0,0.5
134,AL,Demopolis city,27656,89.1,31,47.3,50.1,0.1,0.5,2.4
135,AL,Detroit town,24107,64.8,27.9,83.1,13.9,0,0,0.4
136,AL,Dodge City town,41346,81.7,16.7,96,0.7,0.8,0,2.5
137,AL,Dora city,40769,82.3,17.2,85.6,12.2,0.3,0,0.7
138,AL,Dothan city,42426,86.2,19.1,63.1,32.5,0.4,1.1,2.9
139,AL,Double Springs town,29063,74.5,27.5,97.3,0.6,0.8,0.2,0.4
140,AL,Douglas town,29318,78.5,34.9,93.3,0.8,0.4,0,3.9
141,AL,Dozier town,21765,79.1,30.3,59.6,35.3,0.3,0.3,0
142,AL,Dunnavant CDP,42857,76,7.7,96.7,0.4,0.7,0,2.3
143,AL,Dutton town,39688,90.6,24.2,90.8,2.5,0,0,3.2
144,AL,East Brewton city,26736,83.6,30.6,74.7,20.8,0.6,0,3.1
145,AL,East Point CDP,62059,91.4,0,96.5,0,0,1,3.5
146,AL,Eclectic town,41304,84.2,13.4,86.4,11,0.4,0,1.3
147,AL,Edgewater CDP,26818,84.1,26.5,31,68.4,0.1,0,1
148,AL,Edwardsville town,38438,87,5.1,98,0.5,0,0,0
149,AL,Egypt CDP,56693,84.9,4.5,94.3,0.9,0.5,0.5,3.3
150,AL,Elba city,26156,76.9,31.1,62.1,34.3,1.2,0.3,1.1
151,AL,Elberta town,31190,85.8,15.8,92.9,1.4,0.3,0.8,5.3
152,AL,Eldridge town,30000,75,37.8,97.7,0.8,0,0,0
153,AL,Elkmont town,39583,78.2,11.2,85.9,12.7,1.2,0,0
154,AL,Elmore town,40150,70.5,30,64.3,26.7,0.1,0.2,8.8
155,AL,Emelle town,36250,79.3,0,5.7,94.3,0,0,0
156,AL,Emerald Mountain CDP,91054,90.9,8.2,87.1,11,0.2,0.6,1.6
157,AL,Enterprise city,54450,89.2,16.3,69.4,20.7,0.5,2,8.8
158,AL,Epes town,25000,81.6,24.8,8.9,91.1,0,0,0
159,AL,Ethelsville town,40417,80.6,32.3,74.1,25.9,0,0,0
160,AL,Eufaula city,32845,81.5,25.3,51,44.6,0.5,0.6,4.3
161,AL,Eunola CDP,42023,96.1,0,91.4,7.4,0,0.4,1.6
162,AL,Eutaw town,22377,73.2,32.7,18.1,80.2,0.1,0.4,1.3
163,AL,Eva town,39868,91.2,11.1,96.3,0,0.4,0.2,0.4
164,AL,Evergreen city,18661,79.2,52.6,34.8,62.4,0.2,0.2,2.3
165,AL,Excel town,34375,86,18.6,91.1,5,1.4,0,0.7
166,AL,Fairfield city,34890,88.9,23.4,4.2,94.6,0,0,1.1
167,AL,Fairford CDP,32269,57.6,0,61.3,17.7,19.9,0,0
168,AL,Fairhope city,61489,95.4,11.2,91.1,6.2,0.2,0.7,2.8
169,AL,Fairview town,37750,82,24,95.5,0.2,0,0.4,11.2
170,AL,Falkville town,33846,65.1,26,92.1,3.4,1.1,0.1,2.2
171,AL,Faunsdale town,20625,85.7,30.2,67.3,32.7,0,0,0
172,AL,Fayette city,30646,79.1,25.9,73.4,24.3,0.3,0.3,1.4
173,AL,Fayetteville CDP,34632,68.5,15.3,97.2,1.3,0.3,0,0.3
174,AL,Fitzpatrick CDP,(X),60.7,15.5,78.3,21.7,0,0,2.4
175,AL,Five Points town,45000,61.9,20.4,46.8,52.5,0,0,0
176,AL,Flomaton town,24406,77.3,30.2,69.5,27.2,1.6,0.1,2.3
177,AL,Florala town,25673,79.6,30.1,80.1,15.8,0.8,0.4,2.8
178,AL,Florence city,35731,84.4,24.6,75,19.4,0.4,1.4,3.6
179,AL,Foley city,40938,91.5,18.9,77.1,14.9,0.6,1.1,9.5
180,AL,Forestdale CDP,48654,93.5,17,26.2,71.4,0.2,0.2,1.4
181,AL,Forkland town,19063,74.1,48.1,11.9,87.4,0.2,0,0.8
182,AL,Fort Deposit town,23963,70.5,30.2,23.7,75.5,0.1,0.1,0.4
183,AL,Fort Payne city,38833,67.7,19,77.6,4.2,0.9,0.8,20.9
184,AL,Fort Rucker CDP,59265,98.8,8,77.7,11.9,0.8,1.3,13.2
185,AL,Franklin town,60417,85,6.6,47.7,49.7,0,1.3,0
186,AL,Fredonia CDP,66591,88.6,18.4,87.9,11.6,0,0,0
187,AL,Frisco City town,17311,77.3,31.3,45.4,49.3,1.3,0,1.8
188,AL,Fruitdale CDP,63125,93.3,33,70.3,28.6,0,0,1.6
189,AL,Fruithurst town,35625,75.8,13.5,98.2,0,1.1,0.4,0
190,AL,Fulton town,32083,76,19.9,84.9,11,0,0.7,3.3
191,AL,Fultondale city,51587,85.1,14,75.1,16.6,0.4,1,10.8
192,AL,Fyffe town,42356,83.7,12.8,94,0.3,1.5,0.7,1.3
193,AL,Gadsden city,29136,78.3,29.4,57.3,36.3,0.4,0.6,5.4
194,AL,Gainesville town,14444,76.7,40.9,16.3,82.2,0,0,0
195,AL,Gallant CDP,45859,83.7,3.9,96.7,0.2,0.6,0,1.6
196,AL,Gantt town,47000,85.6,8.3,77,23,0,0,0
197,AL,Garden City town,31591,79.8,19.3,98.2,0.2,0.4,0,0.4
198,AL,Gardendale city,56132,92.2,7.8,88.4,8.6,0.3,1.2,1.5
199,AL,Gaylesville town,26818,78.4,19.3,96.5,0,0,0,3.5
200,AL,Geiger town,45125,71.3,19.5,26.5,73.5,0,0,2.9
201,AL,Geneva city,29912,78.1,30.3,83.2,14,0.4,0.4,1.8
202,AL,Georgiana town,19969,71.1,35.5,33.1,65.4,0.3,0.1,0.3
203,AL,Geraldine town,42292,84.2,13.8,93.5,0.3,3.7,0,2
204,AL,Gilbertown town,33750,83.8,21.5,77.2,21.9,0,0.5,0
205,AL,Glen Allen town,24531,76.5,21.4,89.4,9.4,0.2,0.2,0.2
206,AL,Glencoe city,46691,86.6,11.1,96.5,1.3,0.3,0.5,0.8
207,AL,Glenwood town,36000,84.8,13.6,70.1,29.9,0,0,0
208,AL,Goldville town,46250,86.7,9.3,100,0,0,0,5.5
209,AL,Good Hope town,47754,86.5,15.2,92.7,0.3,0.4,0.5,7.7
210,AL,Goodwater town,23809,71.6,32.2,24.3,73.7,0.7,0,0.7
211,AL,Gordo town,30781,80.4,26.3,58.9,37.8,0.2,0.2,1.5
212,AL,Gordon town,22250,66.8,26.9,21.4,76.5,0.3,0,1.5
213,AL,Gordonville town,18224,76.1,39.2,5.2,94.8,0,0,0
214,AL,Goshen town,40132,71.2,31.9,76.7,22.6,0.4,0,0
215,AL,Graham CDP,41914,74,4.5,83.9,16.1,0,0,0
216,AL,Grand Bay CDP,48767,84.6,6.4,86.9,9.4,0.6,0.7,2.3
217,AL,Grant town,55000,89.2,7.2,98.1,0,0,0.4,1.3
218,AL,Grayson Valley CDP,46250,90.4,8.9,70.6,25.8,0.3,0.9,2.2
219,AL,Graysville city,41282,79.8,17.4,73.9,23.6,0.4,0.2,1.7
220,AL,Greensboro city,21797,75,39.3,32,66.5,0.2,0.8,0.5
221,AL,Greenville city,29741,78.4,25.8,41.7,55.5,0,1.8,1.3
222,AL,Grimes town,31579,84.5,19.1,55.9,36.7,0,0,2.9
223,AL,Grove Hill town,31786,85.8,26.1,56.6,41.3,0.3,0.3,2
224,AL,Guin city,23000,75.4,37.5,86.9,10.9,0,0.1,1.3
225,AL,Gulfcrest CDP,68462,87.2,0,88.2,3.1,5.6,0,1.2
226,AL,Gulf Shores city,47662,92.9,16.6,93.4,1.5,0.5,0.9,4
227,AL,Guntersville city,39756,83.1,16.2,85.8,7.8,0.5,1.5,3.8
228,AL,Gurley town,32500,74.5,30.8,76.3,17.1,1.7,1.2,3.5
229,AL,Gu-Win town,39000,87.2,12,85.8,5.1,4,0,4
230,AL,Hackleburg town,28819,76.5,25.7,97.7,0.1,0.2,0,1.3
231,AL,Hackneyville CDP,60474,95.1,17.8,97.7,0.9,0.3,1.2,0.3
232,AL,Haleburg town,54167,80,8.3,94.2,4.9,0,0,0
233,AL,Haleyville city,24291,70.7,26.8,92.1,0.7,1,0.5,6
234,AL,Hamilton city,33053,82.7,18.5,89.3,7.7,0.4,0.2,3.1
235,AL,Hammondville town,43281,74.5,8,90,0.8,0.2,0.6,6.8
236,AL,Hanceville city,29231,77.7,25.8,92.4,3.6,0.2,0.7,2.4
237,AL,Harpersville town,35972,80.7,18.8,73.1,23.5,0.3,0.7,2.6
238,AL,Hartford city,22094,70.6,36.7,77.9,17.9,0.6,0.1,3.1
239,AL,Hartselle city,53878,91.9,6.9,91.5,4.3,0.8,0.4,2.5
240,AL,Harvest CDP,63708,90.6,5.5,62.2,31.7,0.5,1.2,3.1
241,AL,Hatton CDP,(X),83.2,0,89.7,0,7.3,0,0
242,AL,Hayden town,50795,83.4,7.9,87.6,8.8,0.7,0.2,0
243,AL,Hayneville town,18802,72.1,44.4,15,84.5,0,0,0.1
244,AL,Hazel Green CDP,41938,88.2,14.9,88.9,5.9,1.5,0.4,2.3
245,AL,Headland city,51822,88.1,13.1,70.1,27.5,0.4,0.3,1.4
246,AL,Heath town,38333,80.3,32.5,88.6,10.6,0,0,1.2
247,AL,Heflin city,25823,74.3,22.6,87.3,9.4,0.5,0.1,2.4
248,AL,Helena city,84615,97.7,2.1,82.5,13.1,0.2,1.5,3.3
249,AL,Henagar city,30757,71.7,19.4,96.2,0,1.8,0,1.4
250,AL,Highland Lake town,51250,94.3,9.2,98.8,0,1,0.2,0.7
251,AL,Highland Lakes CDP,124291,97.6,2,87.6,7.6,0.2,2.3,1.6
252,AL,Hillsboro town,34712,74.6,17.6,14.1,80.1,1.8,0.2,1.6
253,AL,Hissop CDP,25032,73.8,23.2,25.1,74.3,0,0.2,2
254,AL,Hobson CDP,(X),63.6,0,99.2,0,0,0,0
255,AL,Hobson City town,25563,77.3,41.3,12.6,85.9,0,0.4,1.3
256,AL,Hodges town,29583,69.3,26.9,98.6,0,1.4,0,1
257,AL,Hokes Bluff city,46042,89.2,13.7,98.5,0.3,0.1,0.4,0.2
258,AL,Hollins CDP,(X),68.2,24.4,89.4,7.7,0.6,0,0.7
259,AL,Hollis Crossroads CDP,34408,71.4,29,86,5.4,0.3,0,8.4
260,AL,Holly Pond town,44750,90.4,19,98.5,0.3,0.4,0,1.4
261,AL,Hollywood town,29306,71.3,20.3,75.8,14.8,1.7,0.3,4.9
262,AL,Holt CDP,30446,75,46.4,39.4,55.2,0.4,0.2,7.2
263,AL,Holtville CDP,52713,85.6,11.1,90.4,7.4,0.5,0.2,1.3
264,AL,Homewood city,61626,93.5,12.7,74.6,17.3,0.2,2.2,7.3
265,AL,Hoover city,77146,95.2,6,75.1,14.8,0.2,5.1,6
266,AL,Horn Hill town,34464,66.3,10.2,91.7,1.3,3.9,0,3.1
267,AL,Hueytown city,42172,86.5,14.3,70,27.2,0.3,0.5,2
268,AL,Huguley CDP,42063,79.3,16.3,73,25,0.6,0.2,1.2
269,AL,Huntsville city,48775,90.2,18.2,60.3,31.2,0.6,2.4,5.8
270,AL,Hurtsboro town,19732,75.3,46,29.1,69.6,0.5,0,2.2
271,AL,Hytop town,38542,70.6,14.7,91.5,0.3,4.5,0,3.4
272,AL,Ider town,32692,80.5,15.4,93.2,0.6,4,0,0.1
273,AL,Indian Springs Village city,96346,97.2,4.4,95.7,1.5,0.2,1.9,0.9
274,AL,Irondale city,47351,87.4,20.5,56.3,35.4,0.3,1.4,7.8
275,AL,Ivalee CDP,50737,77,0,96.1,1.6,0.5,0,1.4
276,AL,Jackson city,31232,85.8,24.7,54.9,42.9,0.7,0.4,1.4
277,AL,Jacksons' Gap town,36719,67.1,26.1,68.2,28.9,0.5,0.5,1.9
278,AL,Jacksonville city,38903,89,31.2,68.7,26.8,0.5,1.3,2.3
279,AL,Jasper city,39695,85.3,22.3,81.3,13.4,0.3,0.7,4.4
280,AL,Jemison city,38500,77.8,24.9,77.8,17.7,0.1,0.1,7
281,AL,Joppa CDP,23672,67.3,0,81.4,0.2,0.8,0,17.2
282,AL,Kansas town,38542,66.4,25.3,100,0,0,0,0
283,AL,Kellyton town,29688,71.3,29.8,68.2,19.8,0,0,11.5
284,AL,Kennedy town,35054,82.6,10.9,83.4,14.3,0,0.2,0.9
285,AL,Killen town,55313,87.1,17.7,94,3.2,0.3,0.5,2.4
286,AL,Kinsey town,37109,75.9,16.2,49.9,46,0.3,0.1,4
287,AL,Kinston town,23571,69.5,30.2,95.6,0.2,2,0.6,0.9
288,AL,Ladonia CDP,32713,84.4,26,86.5,9.8,0.7,0.3,2.7
289,AL,La Fayette city,25666,69.7,24.8,29.3,68.8,0.1,0.4,1.9
290,AL,Lakeview town,46250,92.3,13.5,86.7,0,3.5,0,0
291,AL,Lake View town,88594,95.7,2.2,93.9,4.2,0.1,0.7,0.6
292,AL,Lanett city,25220,77.2,29.8,39.3,57.5,0.2,0.1,2.4
293,AL,Langston town,31875,85.1,24.6,94.4,1.1,0,0,0
294,AL,Leeds city,52689,87.2,15.4,78.7,14.3,0.4,0.6,6.6
295,AL,Leesburg town,41397,80.5,18,96.5,1.1,0,0,1.3
296,AL,Leighton town,22500,71.9,25.6,43.3,53.2,0.3,0.1,0.5
297,AL,Leroy CDP,47365,99.3,6.7,78.6,20.1,0.2,0,0.2
298,AL,Lester town,(X),89,16.1,99.1,0,0,0,0.9
299,AL,Level Plains town,65769,91.3,11.1,75.3,12.4,0.5,1.5,11
300,AL,Lexington town,35521,87.1,21.3,98.4,0,0.5,0.1,0.8
301,AL,Libertyville town,44286,77.3,4.8,88.9,0.9,1.7,0,4.3
302,AL,Lincoln city,55605,87.5,12.7,73.3,23.4,0.5,0.4,1.9
303,AL,Linden city,29722,87.1,25.1,51.1,46.7,0.1,0.2,2
304,AL,Lineville city,31472,77.8,12.9,58.6,36.9,0.3,0.2,4.6
305,AL,Lipscomb city,26163,71,30.6,22,61,1.1,0,19.7
306,AL,Lisman town,28750,67.2,44.9,6.7,92.2,0,0,0.2
307,AL,Littleville town,49107,81.8,7.7,96.5,0.7,0.7,0.6,1.8
308,AL,Livingston city,14426,86,55.2,34.6,63.9,0.1,0.3,0.7
309,AL,Loachapoka town,34688,89.5,31.8,58.9,37.2,0,2.8,1.1
310,AL,Lockhart town,36250,82.2,14.9,72.7,25.2,0.2,0,1.4
311,AL,Locust Fork town,57143,81.9,14.2,97,0.6,0.8,0,2.4
312,AL,Lookout Mountain CDP,51058,82.3,14.9,95.9,2.3,0.4,0,1.2
313,AL,Louisville town,34286,65.7,11.8,49.3,44.1,0.8,0,7.9
314,AL,Lowndesboro town,39375,90.2,3.4,76.5,20.9,0,0,0.9
315,AL,Loxley town,48000,85.3,20,84.4,9.4,0.7,0.6,5.1
316,AL,Luverne city,29844,77.9,20.3,62.6,29.6,0.3,5.5,1.9
317,AL,Lynn town,33452,74.8,27.9,98,0,0.3,0,0.9
318,AL,McDonald Chapel CDP,15588,60.3,62.6,55.8,39.3,0,0.6,2.8
319,AL,Macedonia CDP,(X),81.4,4.2,8.9,91.1,0,0,0
320,AL,McIntosh town,48625,95.8,13.7,37,55.5,4.2,0.4,2.9
321,AL,McKenzie town,31500,75.5,22.5,67.7,29.8,0.4,0,0.4
322,AL,McMullen town,(X),40,40,10,60,0,0,30
323,AL,Madison city,92960,95.7,6.7,74,14.6,0.5,7,4.3
324,AL,Madrid town,38750,70.6,14.9,88.9,8.6,0.6,0.9,3.1
325,AL,Magnolia Springs town,47614,89.1,5.3,96.3,0.1,0.6,0.4,2.8
326,AL,Malcolm CDP,(X),90.1,63.7,40.1,57.2,0.5,0.5,0
327,AL,Malvern town,37000,74,19.8,91.2,4.8,0.7,0.1,4.8
328,AL,Maplesville town,32788,77.3,29.1,68.9,28.5,0.1,0,1.1
329,AL,Marbury CDP,37672,83.8,9.9,92.2,3.8,0.1,0,3.8
330,AL,Margaret town,64789,92.5,10.1,77.3,19.3,0.3,0.8,1.6
331,AL,Marion city,31029,81.4,33,34.3,64.1,0.2,0.6,1.9
332,AL,Maytown town,43750,88.4,9.2,89.4,9.6,0.3,0,0
333,AL,Meadowbrook CDP,92193,94,6.5,92.8,3.9,0.1,2.1,1.6
334,AL,Megargel CDP,-,53.1,46.9,91.9,3.2,3.2,0,0
335,AL,Memphis town,(X),29.4,60.5,0,100,0,0,0
336,AL,Mentone town,38750,87.5,10.9,92.2,1.9,1.4,0,0.6
337,AL,Meridianville CDP,68368,86.6,15.4,76.3,18.5,0.7,1.7,2.7
338,AL,Midfield city,39678,90.2,20.1,16.4,81.6,0.1,0.2,1.4
339,AL,Midland City town,27163,79.3,31.5,70.4,23.3,0.5,0.4,4.1
340,AL,Midway town,24514,58.3,43.1,10.6,89,0,0,0.6
341,AL,Mignon CDP,32452,75.2,26,64.9,27.1,0.1,0.5,6.9
342,AL,Millbrook city,58330,91.3,11.6,74.2,21.6,0.4,0.8,2.8
343,AL,Millerville CDP,24861,70.7,8.8,91.7,7.6,0,0.7,0
